fixture,experiment,configuration,aggregate_score,indicative_level,gate_active,gate_impact,final_level,low_confidence_share,provisional
Fictional Manufacturer,gate_threshold,1.5,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,gate_threshold,2,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,gate_threshold,2.5,2.1111,2,true,0,2,0.0000,false
Fictional Manufacturer,gate_threshold,3,2.1111,2,true,0,2,0.0000,false
Fictional Manufacturer,gate_threshold,3.5,2.1111,2,true,0,2,0.0000,false
Fictional Manufacturer,dimension_weight,equal,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,dimension_weight,strategy_x2,2.2000,2,false,0,2,0.0000,false
Fictional Manufacturer,dimension_weight,governance_x2,2.1000,2,false,0,2,0.0000,false
Fictional Manufacturer,dimension_weight,operations_x2,2.1000,2,false,0,2,0.0000,false
Fictional Manufacturer,confidence_threshold,0.2000,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,confidence_threshold,0.2500,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,confidence_threshold,0.3333,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,confidence_threshold,0.4000,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,confidence_threshold,0.5000,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,critical_set,baseline_3_6_7,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,critical_set,plus_infrastructure,2.1111,2,false,0,2,0.0000,false
Fictional Manufacturer,critical_set,plus_talent,2.1111,2,false,0,2,0.0000,false
Fictional Bank,gate_threshold,1.5,3.3333,3,false,0,3,0.0000,false
Fictional Bank,gate_threshold,2,3.3333,3,false,0,3,0.0000,false
Fictional Bank,gate_threshold,2.5,3.3333,3,false,0,3,0.0000,false
Fictional Bank,gate_threshold,3,3.3333,3,false,0,3,0.0000,false
Fictional Bank,gate_threshold,3.5,3.3333,3,true,0,3,0.0000,false
Fictional Bank,dimension_weight,equal,3.3333,3,false,0,3,0.0000,false
Fictional Bank,dimension_weight,strategy_x2,3.4000,3,false,0,3,0.0000,false
Fictional Bank,dimension_weight,governance_x2,3.4000,3,false,0,3,0.0000,false
Fictional Bank,dimension_weight,operations_x2,3.3000,3,false,0,3,0.0000,false
Fictional Bank,confidence_threshold,0.2000,3.3333,3,false,0,3,0.0000,false
Fictional Bank,confidence_threshold,0.2500,3.3333,3,false,0,3,0.0000,false
Fictional Bank,confidence_threshold,0.3333,3.3333,3,false,0,3,0.0000,false
Fictional Bank,confidence_threshold,0.4000,3.3333,3,false,0,3,0.0000,false
Fictional Bank,confidence_threshold,0.5000,3.3333,3,false,0,3,0.0000,false
Fictional Bank,critical_set,baseline_3_6_7,3.3333,3,false,0,3,0.0000,false
Fictional Bank,critical_set,plus_infrastructure,3.3333,3,false,0,3,0.0000,false
Fictional Bank,critical_set,plus_talent,3.3333,3,false,0,3,0.0000,false
Fictional Cloud Company,gate_threshold,1.5,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,gate_threshold,2,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,gate_threshold,2.5,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,gate_threshold,3,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,gate_threshold,3.5,3.8889,4,true,1,3,0.0000,false
Fictional Cloud Company,dimension_weight,equal,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,dimension_weight,strategy_x2,3.9000,4,false,0,4,0.0000,false
Fictional Cloud Company,dimension_weight,governance_x2,3.8000,4,false,0,4,0.0000,false
Fictional Cloud Company,dimension_weight,operations_x2,3.9000,4,false,0,4,0.0000,false
Fictional Cloud Company,confidence_threshold,0.2000,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,confidence_threshold,0.2500,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,confidence_threshold,0.3333,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,confidence_threshold,0.4000,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,confidence_threshold,0.5000,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,critical_set,baseline_3_6_7,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,critical_set,plus_infrastructure,3.8889,4,false,0,4,0.0000,false
Fictional Cloud Company,critical_set,plus_talent,3.8889,4,false,0,4,0.0000,false
