fixture,experiment,configuration,aggregate_score,indicative_level,gate_active,gate_impact,final_level
Fictional Manufacturer,gate_threshold,1.5,2.1111,2,false,0,2
Fictional Manufacturer,gate_threshold,2.0,2.1111,2,false,0,2
Fictional Manufacturer,gate_threshold,2.5,2.1111,2,true,0,2
Fictional Manufacturer,gate_threshold,3.0,2.1111,2,true,0,2
Fictional Manufacturer,gate_threshold,3.5,2.1111,2,true,0,2
Fictional Manufacturer,dimension_weight,equal,2.1111,2,false,0,2
Fictional Manufacturer,dimension_weight,strategy_x2,2.2000,2,false,0,2
Fictional Manufacturer,dimension_weight,governance_x2,2.1000,2,false,0,2
Fictional Manufacturer,dimension_weight,operations_x2,2.1000,2,false,0,2
Fictional Bank,gate_threshold,1.5,3.3333,3,false,0,3
Fictional Bank,gate_threshold,2.0,3.3333,3,false,0,3
Fictional Bank,gate_threshold,2.5,3.3333,3,false,0,3
Fictional Bank,gate_threshold,3.0,3.3333,3,false,0,3
Fictional Bank,gate_threshold,3.5,3.3333,3,true,0,3
Fictional Bank,dimension_weight,equal,3.3333,3,false,0,3
Fictional Bank,dimension_weight,strategy_x2,3.4000,3,false,0,3
Fictional Bank,dimension_weight,governance_x2,3.4000,3,false,0,3
Fictional Bank,dimension_weight,operations_x2,3.3000,3,false,0,3
Fictional Cloud Company,gate_threshold,1.5,3.8889,4,false,0,4
Fictional Cloud Company,gate_threshold,2.0,3.8889,4,false,0,4
Fictional Cloud Company,gate_threshold,2.5,3.8889,4,false,0,4
Fictional Cloud Company,gate_threshold,3.0,3.8889,4,false,0,4
Fictional Cloud Company,gate_threshold,3.5,3.8889,4,true,1,3
Fictional Cloud Company,dimension_weight,equal,3.8889,4,false,0,4
Fictional Cloud Company,dimension_weight,strategy_x2,3.9000,4,false,0,4
Fictional Cloud Company,dimension_weight,governance_x2,3.8000,4,false,0,4
Fictional Cloud Company,dimension_weight,operations_x2,3.9000,4,false,0,4
